time slot,delay (secs) - 3G
121,4.4280716896
122,4.4757735443
123,7.5472702312
124,7.7057847881
125,7.8612634945
126,4.4653525257
127,13.5572837639
128,7.6849097919
129,4.4528295898
130,4.5116844082
131,4.482963047
132,7.6406595039
133,4.5467407036
134,13.6809682655
135,13.7326037598
136,4.4975947475
137,7.6891499519
138,4.5052690315
139,7.6710931873
140,7.7781541061
141,4.5648274326
142,4.4644462872
143,4.4716145706
144,4.5359389496
145,7.6344903564
146,4.475833149
147,4.44633214
148,4.4446159744
149,4.5368511486
150,4.5131284904
151,7.8371857452
152,4.5110215092
153,11.7392751026
154,4.445140276
155,4.4932901001
156,7.8391550922
157,4.470085516
158,7.6083662987
159,7.5560735512
160,4.4920147896
161,4.4255041027
162,7.5900362015
163,4.5000983429
164,4.487883234
165,7.7405313301
166,7.5987407112
167,4.4714213943
168,4.4401442146
169,4.5048553085
170,4.5081007195
171,4.501648159
172,4.5237436104
173,4.4632129478
174,7.6747249126
175,7.6768500137
176,7.5751118374
177,13.5895137596
178,4.4381432247
179,7.7034194374
180,7.5710865021
181,4.48010746
182,4.5318807602
183,13.8040272236
184,7.5027007484
185,4.4682984066
186,4.4577366161
187,4.5252401543
188,4.4640359592
189,4.4512912941
190,4.4986533928
191,4.473289156
192,4.5175723839
193,4.5346925163
194,4.5294127274
195,4.4927232075
196,4.4858901215
197,4.5615224743
198,4.4613699818
199,4.4515862274
200,4.5340935993
201,4.5105256462
202,7.5844318581
203,4.5357618046
204,4.4836091709
205,4.8561429691
206,4.5228507137
207,4.4650072956
208,4.4909462833
209,7.7801996708
210,4.4799542236
211,4.5332431602
212,4.5256960297
213,4.5250010109
214,4.5490071678
215,4.4922206116
216,4.5019268703
217,4.4513267612
218,4.5896074581
219,4.5462512875
220,7.6025041008
221,4.5127003002
222,4.5111925411
223,4.5580303478
224,7.4985568333
225,7.5999820042
226,7.499491663
227,4.4916150284
228,7.5841614914
229,7.5919222546
230,10.5875971031
231,4.4423870945
232,13.7373208714
233,4.44642066
234,4.4713806915
235,4.804784193
236,4.5037939262
237,4.5245914173
238,4.4752924252
239,13.7689418221
240,7.6517331409
241,4.4817747974
242,4.4879672337
243,4.5536007786
244,4.5611443233
245,4.4824502373
246,4.4328553391
247,4.4861073303
248,4.5771250534
249,13.5868301201
250,7.4898319054
251,4.4226705742
252,4.4641136456
253,4.474345665
254,4.4861494732
255,4.5017518902
256,4.4860143566
257,4.4868817234
258,4.4895293522
259,4.4961201954
260,4.4244675446
261,4.4829506683
262,4.4528705978
263,4.4956008816
264,7.5936521912
265,4.469502182
266,4.4612841415
267,4.4985923481
268,4.5102436447
269,4.5223092937
270,4.5400962639
271,4.5181426907
272,4.4774312687
273,4.4634427643
274,4.4847180653
275,13.617762537
276,4.431551199
277,4.4604549026
278,4.5573367691
279,4.4411437225
280,4.4420091915
281,4.4977397823
282,4.5708349514
283,4.4824285221
284,7.6470738697
285,4.52500247
286,4.5159787941
287,4.4956223869
288,4.5335142231
289,7.6480803299
290,4.4651341248
291,4.4736873913
292,4.488367548
293,4.4591011906
294,4.5371064472
295,4.4666466331
296,4.5385119724
297,4.4576599312
298,4.4490775776
299,4.518711319
300,4.4752714348
301,4.4423970985
302,4.5014702606
303,4.4828922462
304,4.4864134598
305,4.4997813225
306,4.4644160175
307,4.5036167717
308,4.5067572212
309,4.4123353767
310,4.4589800453
311,4.4691488361
312,4.5102338409
313,4.5171892357
314,13.6669981289
315,4.4653761196
316,4.5099756432
317,4.6938383389
318,13.6015190887
319,4.5279648018
320,4.4934997463
321,4.4681286716
322,4.5246438789
323,13.6317212486
324,4.4587547398
325,4.4538841152
326,4.4311368084
327,4.4811482143
328,13.530406208
329,4.4857153606
330,4.4809040642
331,4.4688050175
332,4.5075828838
333,4.462458601
334,4.4667498875
335,7.603332262
336,13.7560562801
337,4.4566933632
338,4.4927444267
339,4.4534809399
340,4.5139341068
341,4.4469573021
342,4.4814049911
