"time slot","timestamp","date time","block index","block length","gamma","max gain","weight","probability","selection type","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","gain prev block","log"
25,1498892760.1690834,"01/07/2017 15:06:00",13,3,0.42529037028299016,41250000.0,"[0.2828329258426778, 1.0, 0.3027335603010868]","[0.2426720372737425, 0.5073124319390251, 0.2500155307872325]",0,2,0,5485024,5485024.0,2.923995736539318,0,15.006927490234375,0,"[930595.9226350366, 162478030.73995912, 3780113.13403511]","[1, 23, 1]","[6430536.0, 8661936.0, 8475144.0]","['; gamma used= 0.41491326668312173', 'no selection ----- in the middle of a block']"
26,1498892775.1760108,"01/07/2017 15:06:15",13,3,0.42529037028299016,41250000.0,"[0.272586081340242, 1.0, 0.29176572934989303]","[0.24025495457544777, 0.5123166676309707, 0.2474283777935816]",0,2,0,7127952,7127952.0,3.799905184168643,0,15.00658917427063,0,"[930595.9226350366, 169605982.73995912, 3780113.13403511]","[1, 24, 1]","[6430536.0, 8661936.0, 8475144.0]","['; gamma used= 0.41491326668312173', 'no selection ----- in the middle of a block']"
27,1498892790.1826,"01/07/2017 15:06:30",14,3,0.41491326668312173,41250000.0,"[0.2598226664486272, 1.0, 0.2781042575809106]","[0.23715098819834662, 0.518743001054253, 0.24410601074740051]",0,2,0,4379304,4379304.0,2.3343912652883025,0,15.007951974868774,0,"[930595.9226350366, 173985286.73995912, 3780113.13403511]","[1, 25, 1]","[6479800.0, 5485024.0, 7127952.0]","['; gamma used= 0.41491326668312173', 'flipped coin but will not select greedily...', 'choosing randomly']"
28,1498892805.190552,"01/07/2017 15:06:45",14,3,0.41491326668312173,41250000.0,"[0.2527340503159802, 1.0, 0.2705168736401964]","[0.23380131979682295, 0.5254567824683086, 0.24074189773486848]",0,2,0,4358480,4358480.0,2.3235577823756164,0,15.006228923797607,0,"[930595.9226350366, 178343766.73995912, 3780113.13403511]","[1, 26, 1]","[6479800.0, 5485024.0, 7127952.0]","['; gamma used= 0.4054801330382267', 'no selection ----- in the middle of a block']"
29,1498892820.196781,"01/07/2017 15:07:00",14,3,0.41491326668312173,41250000.0,"[0.2458711676295625, 1.0, 0.26317110615786454]","[0.23202631271242785, 0.5291316893349429, 0.23884199795262928]",0,2,0,7273304,7273304.0,3.87728558159459,0,15.007001876831055,0,"[930595.9226350366, 185617070.73995912, 3780113.13403511]","[1, 27, 1]","[6479800.0, 5485024.0, 7127952.0]","['; gamma used= 0.4054801330382267', 'no selection ----- in the middle of a block']"
30,1498892835.2037828,"01/07/2017 15:07:15",15,2,0.4054801330382267,41250000.0,"[0.23483105209370791, 1.0, 0.25135418819349836]","[0.22909969740188468, 0.5351908418843973, 0.23570946071371812]",0,1,4.6967432498931885,699384,1018447.4051854564,0.5434632266819566,0.015495777130126953,14.991960525512695,8848,"[1949043.327820493, 185617070.73995912, 3780113.13403511]","[2, 27, 1]","[4379304.0, 4358480.0, 7273304.0]","['; gamma used= 0.4054801330382267', 'flipped coin but will not select greedily...', 'choosing randomly']"
31,1498892850.211239,"01/07/2017 15:07:30",16,4,0.4054801330382267,41250000.0,"[0.23820276348033936, 1.0, 0.25135418819349836]","[0.22873621790873178, 0.537202303978079, 0.23406147811318925]",-1,2,4.828344821929932,1595696,2353278.461137636,1.2552251159805505,0.008948326110839844,14.998287916183472,0,"[1949043.327820493, 187970349.20109674, 3780113.13403511]","[2, 28, 1]","[1018447.4051854564]","['; gamma used= 0.3968502629920499', 'current gain: 1018447.4051854564, prev block gain: [4379304.0, 4358480.0, 7273304.0]', ' ----- switch back']"
32,1498892865.2184753,"01/07/2017 15:07:45",16,4,0.3968502629920499,41250000.0,"[0.2364475889655391, 1.0, 0.2495021086505927]","[0.22687484840187275, 0.5408817016597304, 0.23224344993839705]",-1,2,0,3624344,3624344.0,1.9319877866206903,0,15.007730484008789,0,"[1949043.327820493, 191594693.20109674, 3780113.13403511]","[2, 29, 1]","[1018447.4051854564]","['; gamma used= 0.3889111187328203', 'no selection ----- in the middle of a block']"
33,1498892880.2262058,"01/07/2017 15:08:00",16,4,0.3968502629920499,41250000.0,"[0.23376966382654257, 1.0, 0.24667633245253026]","[0.22613096282844705, 0.5424105435102594, 0.23145849366129362]",-1,2,0,4962296,4962296.0,2.6453591109533106,0,15.006797313690186,0,"[1949043.327820493, 196556989.20109674, 3780113.13403511]","[2, 30, 1]","[1018447.4051854564]","['; gamma used= 0.3889111187328203', 'no selection ----- in the middle of a block']"
34,1498892895.2330031,"01/07/2017 15:08:15",16,4,0.3968502629920499,41250000.0,"[0.23015228542452315, 1.0, 0.2428592347902551]","[0.22511728578820628, 0.5444938637646148, 0.23038885044717894]",-1,2,0,6022232,6022232.0,3.210380225304655,0,15.006900310516357,0,"[1949043.327820493, 202579221.20109674, 3780113.13403511]","[2, 31, 1]","[1018447.4051854564]","['; gamma used= 0.3889111187328203', 'no selection ----- in the middle of a block']"
35,1498892910.2399035,"01/07/2017 15:08:30",17,4,0.3889111187328203,41250000.0,"[0.22583734659669258, 1.0, 0.2383060636585378]","[0.22389467207008495, 0.5470065929881258, 0.2290987349417894]",1,2,0,7635304,7635304.0,4.070359297357366,0,15.006643772125244,0,"[1949043.327820493, 210214525.20109674, 3780113.13403511]","[2, 32, 1]","[2353278.461137636, 3624344.0, 4962296.0, 6022232.0]","['; gamma used= 0.3889111187328203', 'flipped coin and will select greedily...', 'averageBytePerNet:[974521.6639102465, 6534813.587132153, 3780113.13403511], numNetworkHighestAverageByte: 1', 'choosing greedily']"
