"timestamp","date time","EcIo","RSCP"
1494236866.6867712,"08/05/2017 17:47:46"," 134d3"," -12"," -93"
1494236868.2004511,"08/05/2017 17:47:48"," 134d3"," -13"," -98"
1494236869.704513,"08/05/2017 17:47:49"," 134d3"," -12"," -93"
1494236871.2071908,"08/05/2017 17:47:51"," 134d3"," -12"," -94"
1494236872.7174544,"08/05/2017 17:47:52"," 134d3"," -13"," -93"
1494236874.236734,"08/05/2017 17:47:54"," 134d3"," -12"," -95"
1494236875.7468333,"08/05/2017 17:47:55"," 134d3"," -13"," -94"
1494236877.2570257,"08/05/2017 17:47:57"," 134d3"," -13"," -93"
1494236878.7677794,"08/05/2017 17:47:58"," 134d3"," -13"," -93"
1494236880.2791681,"08/05/2017 17:48:00"," 134d3"," -11"," -92"
1494236881.788605,"08/05/2017 17:48:01"," 134d3"," -12"," -94"
1494236883.2986097,"08/05/2017 17:48:03"," 134d3"," -12"," -95"
1494236884.8102295,"08/05/2017 17:48:04"," 134d3"," -11"," -96"
1494236886.3140883,"08/05/2017 17:48:06"," 134d3"," -10"," -95"
1494236887.8151839,"08/05/2017 17:48:07"," 134d3"," -11"," -95"
1494236889.3246639,"08/05/2017 17:48:09"," 134d3"," -9"," -95"
1494236890.8363838,"08/05/2017 17:48:10"," 134d3"," -9"," -94"
1494236892.3454971,"08/05/2017 17:48:12"," 134d3"," -12"," -95"
1494236893.856116,"08/05/2017 17:48:13"," 134d3"," -12"," -95"
1494236895.35877,"08/05/2017 17:48:15"," 134d3"," -13"," -94"
1494236896.8608346,"08/05/2017 17:48:16"," 134d3"," -13"," -97"
1494236898.3711474,"08/05/2017 17:48:18"," 134d3"," -11"," -96"
1494236899.8801475,"08/05/2017 17:48:19"," 134d3"," -11"," -97"
1494236901.3920372,"08/05/2017 17:48:21"," 134d3"," -11"," -96"
1494236902.9020104,"08/05/2017 17:48:22"," 134d3"," -12"," -96"
1494236904.413017,"08/05/2017 17:48:24"," 134d3"," -9"," -98"
1494236905.9219408,"08/05/2017 17:48:25"," 134d3"," -10"," -96"
1494236907.4354072,"08/05/2017 17:48:27"," 134d3"," -12"," -95"
1494236908.948339,"08/05/2017 17:48:28"," 134d3"," -13"," -96"
1494236910.4602396,"08/05/2017 17:48:30"," 134d3"," -12"," -92"
1494236911.9618788,"08/05/2017 17:48:31"," 134d3"," -9"," -93"
1494236913.4724388,"08/05/2017 17:48:33"," 134d3"," -11"," -94"
1494236914.9835668,"08/05/2017 17:48:34"," 134d3"," -10"," -95"
1494236916.4967132,"08/05/2017 17:48:36"," 134d3"," -11"," -95"
1494236917.9995673,"08/05/2017 17:48:37"," 134d3"," -11"," -94"
1494236919.5141594,"08/05/2017 17:48:39"," 134d3"," -8"," -96"
1494236921.015347,"08/05/2017 17:48:41"," 134d3"," -8"," -91"
1494236922.521469,"08/05/2017 17:48:42"," 134d3"," -11"," -95"
1494236924.03452,"08/05/2017 17:48:44"," 134d3"," -10"," -94"
1494236925.5347698,"08/05/2017 17:48:45"," 134d3"," -11"," -92"
1494236927.0471458,"08/05/2017 17:48:47"," 134d3"," -11"," -98"
1494236928.551881,"08/05/2017 17:48:48"," 134d3"," -10"," -92"
1494236930.0549588,"08/05/2017 17:48:50"," 134d3"," -11"," -94"
1494236931.5600722,"08/05/2017 17:48:51"," 134d3"," -13"," -97"
1494236933.0636394,"08/05/2017 17:48:53"," 134d3"," -10"," -95"
1494236934.5662324,"08/05/2017 17:48:54"," 134d3"," -9"," -93"
1494236936.0749357,"08/05/2017 17:48:56"," 134d3"," -10"," -93"
1494236937.58876,"08/05/2017 17:48:57"," 134d3"," -10"," -91"
1494236939.0939713,"08/05/2017 17:48:59"," 134d3"," -8"," -90"
1494236940.5964558,"08/05/2017 17:49:00"," 134d3"," -9"," -90"
1494236942.1106315,"08/05/2017 17:49:02"," 134d3"," -8"," -91"
1494236943.620172,"08/05/2017 17:49:03"," 134d3"," -9"," -91"
1494236945.1312118,"08/05/2017 17:49:05"," 134d3"," -9"," -93"
1494236946.643789,"08/05/2017 17:49:06"," 134d3"," -12"," -94"
1494236948.1571984,"08/05/2017 17:49:08"," 134d3"," -12"," -92"
1494236949.6595163,"08/05/2017 17:49:09"," 134d3"," -12"," -93"
1494236951.1742966,"08/05/2017 17:49:11"," 134d3"," -7"," -93"
1494236952.6834366,"08/05/2017 17:49:12"," 134d3"," -13"," -96"
1494236954.1861193,"08/05/2017 17:49:14"," 134d3"," -12"," -93"
1494236955.6952884,"08/05/2017 17:49:15"," 134d3"," -13"," -95"
1494236957.2106254,"08/05/2017 17:49:17"," 134d3"," -11"," -98"
1494236958.710269,"08/05/2017 17:49:18"," 134d3"," -11"," -97"
1494236960.2251027,"08/05/2017 17:49:20"," 134d3"," -10"," -94"
1494236961.7431529,"08/05/2017 17:49:21"," 134d3"," -12"," -94"
1494236963.2573342,"08/05/2017 17:49:23"," 134d3"," -10"," -95"
1494236964.757945,"08/05/2017 17:49:24"," 134d3"," -10"," -100"
1494236966.2771862,"08/05/2017 17:49:26"," 134d3"," -12"," -100"
1494236967.7804046,"08/05/2017 17:49:27"," 134d3"," -13"," -95"
1494236969.2930717,"08/05/2017 17:49:29"," 134d3"," -11"," -96"
1494236970.7992628,"08/05/2017 17:49:30"," 134d3"," -12"," -94"
1494236972.3087351,"08/05/2017 17:49:32"," 134d3"," -11"," -93"
1494236973.8194592,"08/05/2017 17:49:33"," 134d3"," -12"," -94"
1494236975.3247075,"08/05/2017 17:49:35"," 134d3"," -13"," -98"
1494236976.8386796,"08/05/2017 17:49:36"," 134d3"," -12"," -96"
1494236978.3518677,"08/05/2017 17:49:38"," 134d3"," -11"," -94"
1494236979.8980217,"08/05/2017 17:49:39"," 134d3"," -12"," -96"
1494236981.406857,"08/05/2017 17:49:41"," 134d3"," -14"," -97"
1494236982.9176135,"08/05/2017 17:49:42"," 134d3"," -12"," -97"
1494236984.4294338,"08/05/2017 17:49:44"," 134d3"," -15"," -97"
1494236985.9437656,"08/05/2017 17:49:45"," 134d3"," -14"," -96"
1494236987.4487205,"08/05/2017 17:49:47"," 134d3"," -18"," -97"
1494236988.9551227,"08/05/2017 17:49:48"," 134d3"," -15"," -97"
1494236990.4645832,"08/05/2017 17:49:50"," 134d3"," -16"," -98"
1494236991.970002,"08/05/2017 17:49:51"," 134d3"," -13"," -98"
