time slot,timestamp,date time,max gain,network selected,delay,#bytes,#bytes w/o delay,bit rate (Mbps),selection duration,connect and download duration,#bytes downloaded during selection by previous network,log
43,1495440982.84246,22/05/2017 16:16:22,120000000,WiFi,0,9074616,9073155.97816844,4.8390165217,0,15.0024137497,0,"['averageBytePerNet:[8841196.460109586, 6219616.338476938], numNetworkHighestAverageByte: 1']"
44,1495440997.84487,22/05/2017 16:16:37,120000000,WiFi,0,9076064,9075222.32007348,4.8401185707,0,15.0013911724,0,"['averageBytePerNet:[8846719.305777654, 6219616.338476938], numNetworkHighestAverageByte: 1']"
45,1495441012.84627,22/05/2017 16:16:52,120000000,WiFi,0,9074616,9073417.98028624,4.8391562562,0,15.0019805431,0,"['averageBytePerNet:[8852033.329365928, 6219616.338476938], numNetworkHighestAverageByte: 1']"
46,1495441027.84825,22/05/2017 16:17:07,120000000,WiFi,0,7998752,7998058.0207568,4.2656309444,0,15.001301527,0,"['averageBytePerNet:[8857064.798705027, 6219616.338476938], numNetworkHighestAverageByte: 1']"
47,1495441042.84955,22/05/2017 16:17:22,120000000,WiFi,0,9042760,9041601.1033742,4.8221872551,0,15.0019226074,0,"['averageBytePerNet:[8837975.759195065, 6219616.338476938], numNetworkHighestAverageByte: 1']"
48,1495441057.85147,22/05/2017 16:17:37,120000000,WiFi,0,9076064,9074792.09224654,4.8398891159,0,15.002102375,0,"['averageBytePerNet:[8842402.397112003, 6219616.338476938], numNetworkHighestAverageByte: 1']"
49,1495441072.85357,22/05/2017 16:17:52,120000000,WiFi,0,9074555,9073850.46102679,4.8393869125,0,15.0011646748,0,"['averageBytePerNet:[8847346.85871061, 6219616.338476938], numNetworkHighestAverageByte: 1']"
50,1495441087.85474,22/05/2017 16:18:07,120000000,WiFi,0,9057301,9056337.56534632,4.8300467015,0,15.0015957356,0,"['averageBytePerNet:[8852065.683758864, 6219616.338476938], numNetworkHighestAverageByte: 1']"
51,1495441102.85633,22/05/2017 16:18:22,120000000,WiFi,0,9087648,9086145.73902929,4.8459443941,0,15.0024800301,0,"['averageBytePerNet:[8856234.497668812, 6219616.338476938], numNetworkHighestAverageByte: 1']"
52,1495441117.85881,22/05/2017 16:18:37,120000000,WiFi,0,9074616,9073074.79951505,4.8389732264,0,15.0025479794,0,"['averageBytePerNet:[8860832.722496022, 6219616.338476938], numNetworkHighestAverageByte: 1']"
53,1495441132.86136,22/05/2017 16:18:52,120000000,WiFi,0,9068824,9067724.73877044,4.8361198607,0,15.0018184185,0,"['averageBytePerNet:[8864994.331849335, 6219616.338476938], numNetworkHighestAverageByte: 1']"
54,1495441147.86318,22/05/2017 16:19:07,120000000,WiFi,0,7923456,7921555.39259448,4.2248295427,0,15.0035989285,0,"['averageBytePerNet:[8868892.993520895, 6219616.338476938], numNetworkHighestAverageByte: 1']"
55,1495441162.86678,22/05/2017 16:19:22,120000000,WiFi,0,9090544,9088194.03934491,4.847036821,0,15.0038785934,0,"['averageBytePerNet:[8851018.699163793, 6219616.338476938], numNetworkHighestAverageByte: 1']"
56,1495441177.87066,22/05/2017 16:19:37,120000000,WiFi,0,9074616,9073559.58596854,4.8392317792,0,15.0017464161,0,"['averageBytePerNet:[8855410.835093072, 6219616.338476938], numNetworkHighestAverageByte: 1']"
57,1495441192.8724,22/05/2017 16:19:52,120000000,WiFi,0,9076064,9075291.98533908,4.8401557255,0,15.0012760162,0,"['averageBytePerNet:[8859377.176018082, 6219616.338476938], numNetworkHighestAverageByte: 1']"
58,1495441207.87368,22/05/2017 16:20:07,120000000,WiFi,0,9074616,9073335.49917639,4.8391122662,0,15.0021169186,0,"['averageBytePerNet:[8863232.7976131, 6219616.338476938], numNetworkHighestAverageByte: 1']"
59,1495441222.8758,22/05/2017 16:20:22,120000000,WiFi,0,9076064,9074536.39788389,4.8397527455,0,15.0025250912,0,"['averageBytePerNet:[8866918.809921227, 6219616.338476938], numNetworkHighestAverageByte: 1']"
