"timestamp","date time","EcIo","RSCP"
1494491927.020587,"11/05/2017 16:38:47"," 134d3"," -12"," -91"
1494491928.5307424,"11/05/2017 16:38:48"," 134d3"," -10"," -91"
1494491930.0451767,"11/05/2017 16:38:50"," 134d3"," -9"," -92"
1494491931.5620067,"11/05/2017 16:38:51"," 134d3"," -10"," -90"
1494491933.071652,"11/05/2017 16:38:53"," 134d3"," -8"," -88"
1494491934.5877478,"11/05/2017 16:38:54"," 134d3"," -10"," -93"
1494491936.0974228,"11/05/2017 16:38:56"," 134d3"," -10"," -92"
1494491937.604201,"11/05/2017 16:38:57"," 134d3"," -11"," -91"
1494491939.1241221,"11/05/2017 16:38:59"," 134d3"," -10"," -87"
1494491940.6367311,"11/05/2017 16:39:00"," 134d3"," -12"," -90"
1494491942.1488369,"11/05/2017 16:39:02"," 134d3"," -12"," -90"
1494491943.6572688,"11/05/2017 16:39:03"," 134d3"," -10"," -87"
1494491945.1719031,"11/05/2017 16:39:05"," 134d3"," -13"," -91"
1494491946.6825593,"11/05/2017 16:39:06"," 134d3"," -13"," -92"
1494491948.1962533,"11/05/2017 16:39:08"," 134d3"," -11"," -92"
1494491949.709326,"11/05/2017 16:39:09"," 134d3"," -9"," -96"
1494491951.2227745,"11/05/2017 16:39:11"," 134d3"," -10"," -95"
1494491952.7324011,"11/05/2017 16:39:12"," 134d3"," -11"," -99"
1494491954.2371438,"11/05/2017 16:39:14"," 134d3"," -10"," -97"
1494491955.7522488,"11/05/2017 16:39:15"," 134d3"," -11"," -94"
1494491957.2569327,"11/05/2017 16:39:17"," 134d3"," -11"," -98"
1494491958.767025,"11/05/2017 16:39:18"," 134d3"," -11"," -99"
1494491960.2819493,"11/05/2017 16:39:20"," 134e4"," -11"," -96"
1494491961.866002,"11/05/2017 16:39:21"," 134e4"," -11"," -96"
1494491963.372723,"11/05/2017 16:39:23"," 134d3"," -10"," -98"
1494491964.8855002,"11/05/2017 16:39:24"," 134d3"," -10"," -95"
1494491966.3983388,"11/05/2017 16:39:26"," 134d3"," -10"," -96"
1494491967.91094,"11/05/2017 16:39:27"," 134e4"," -9"," -96"
1494491969.4226494,"11/05/2017 16:39:29"," 134e4"," -9"," -93"
1494491970.9343164,"11/05/2017 16:39:30"," 134e4"," -10"," -91"
1494491972.448627,"11/05/2017 16:39:32"," 134d3"," -8"," -90"
1494491973.9510105,"11/05/2017 16:39:33"," 134d3"," -11"," -92"
