time slot,timestamp,date time,block index,block length,gamma,max gain,weight,probability,selection type,network selected,delay,#bytes,#bytes w/o delay,bit rate (Mbps),selection duration,connect and download duration,#bytes downloaded during selection by previous network,log
1,1495447099.24365,22/05/2017 17:58:19,1,1,1,120000000,"[1, 1]","[0.5, 0.5]",2,WiFi,0.604455471,8706568,9072059.10971876,4.8384315252,0.0006322861,15.0001420975,0,"['exploring after a reset', 'prob current block:0.5', '<wifi_mac_address>']"
2,1495447114.24443,22/05/2017 17:58:34,2,1,0.793700526,120000000,"[1.0, 0.9417606245856484]","[0.5030937779772826, 0.4969062220227174]",2,Cellular,1.8142213821,11934312,13574647.0071895,7.2398117372,0.0056650639,15.0016493797,5792,"['; gamma used= 0.7937005259840998', 'exploring after a reset', 'prob current block:1.0', '']"
13,1495447279.31303,22/05/2017 18:01:19,9,2,0.4807498568,120000000,"[0.7280536694225611, 1.0]","[0.45914242317756593, 0.5408575768224342]",0,WiFi,4.1684248447,6117479,8472623.75348426,4.5187326685,0.0089988708,14.998857975,81920,"['; gamma used= 0.4807498567691362', 'flipped coin but will not select greedily...', 'choosing randomly', '<wifi_mac_address>']"
14,1495447294.32089,22/05/2017 18:01:34,10,2,0.4807498568,120000000,"[0.7545058807353212, 1.0]","[0.46251199712710744, 0.5374880028728926]",-1,Cellular,3.9374370575,14363224,19476971.7412025,10.387718262,0.0072703362,14.9991340637,0,"['; gamma used= 0.4641588833612779', 'current gain: 8472623.753484257, prev block gain: [18627823.3961744, 11502440.142591521]', ' ----- switch back', '']"
15,1495447309.32729,22/05/2017 18:01:49,10,2,0.4641588834,120000000,"[0.7274698943235712, 1.0]","[0.45658723372707366, 0.5434127662729262]",-1,Cellular,0,12138948,12134969.846881,6.4719839183,0,15.0049173832,0,"['; gamma used= 0.4496443130226092', 'no selection ----- in the middle of a block']"
16,1495447324.33221,22/05/2017 18:02:04,11,2,0.449644313,120000000,"[0.7111173971619604, 1.0]","[0.453542584627904, 0.546457415372096]",1,Cellular,0,10635144,10632082.1957813,5.6704438378,0,15.0043196678,0,"['; gamma used= 0.4496443130226092', 'flipped coin and will select greedily...', 'averageBytePerNet:[8689145.928820968, 16061048.667456396], numNetworkHighestAverageByte: 1', 'choosing greedily']"
17,1495447339.33653,22/05/2017 18:02:19,11,2,0.449644313,120000000,"[0.6841229260738457, 1.0]","[0.447181690050107, 0.552818309949893]",1,Cellular,0,12127244,12122401.7492021,6.4652809329,0,15.0059916973,0,"['; gamma used= 0.43679023236814946', 'no selection ----- in the middle of a block']"
18,1495447354.34252,22/05/2017 18:02:34,12,2,0.4367902324,120000000,"[0.6545926032253393, 1.0]","[0.44121307586636027, 0.5587869241336398]",1,Cellular,0,12232732,12230701.6679398,6.5230408896,0,15.0024900436,0,"['; gamma used= 0.43679023236814946', 'flipped coin and will select greedily...', 'averageBytePerNet:[8689145.928820968, 15340463.022077216], numNetworkHighestAverageByte: 1', 'choosing greedily']"
19,1495447369.34501,22/05/2017 18:02:49,12,2,0.4367902324,120000000,"[0.626824375571748, 1.0]","[0.43408396500722457, 0.5659160349927753]",1,Cellular,0,20842808,20835499.0485585,11.1122661592,0,15.005261898,0,"['; gamma used= 0.42529037028299016', 'no selection ----- in the middle of a block']"
20,1495447384.35027,22/05/2017 18:03:04,13,3,0.4252903703,120000000,"[0.5822055647624911, 1.0]","[0.4241215899751877, 0.5758784100248122]",1,Cellular,0,16339708,16333286.791372,8.7110862887,0,15.0058970451,0,"['; gamma used= 0.42529037028299016', 'flipped coin and will select greedily...', 'averageBytePerNet:[8689145.928820968, 15499481.333566811], numNetworkHighestAverageByte: 1', 'choosing greedily']"
21,1495447399.35617,22/05/2017 18:03:19,13,3,0.4252903703,120000000,"[0.550237192641893, 1.0]","[0.4151258101103463, 0.5848741898896537]",1,Cellular,0,15563180,15560960.9120607,8.2991791531,0,15.0021390915,0,"['; gamma used= 0.41491326668312173', 'no selection ----- in the middle of a block']"
22,1495447414.35831,22/05/2017 18:03:34,13,3,0.4252903703,120000000,"[0.5214147038980578, 1.0]","[0.4079758113312744, 0.5920241886687256]",1,Cellular,0,10669844,10666668.4759154,5.6888898538,0,15.00446558,0,"['; gamma used= 0.41491326668312173', 'no selection ----- in the middle of a block']"
23,1495447429.36277,22/05/2017 18:03:49,14,3,0.4149132667,120000000,"[0.502534611610051, 1.0]","[0.40314352934625597, 0.5968564706537441]",1,Cellular,0,9782276,9779473.87318688,5.215719399,0,15.0042979717,0,"['; gamma used= 0.41491326668312173', 'flipped coin and will select greedily...', 'averageBytePerNet:[8689145.928820968, 15280729.787936125], numNetworkHighestAverageByte: 1', 'choosing greedily']"
24,1495447444.36707,22/05/2017 18:04:04,14,3,0.4149132667,120000000,"[0.4861998062228951, 1.0]","[0.39723305656134456, 0.6027669434386553]",1,Cellular,0,6492196,6490764.75134475,3.4617412007,0,15.0033075809,0,"['; gamma used= 0.4054801330382267', 'no selection ----- in the middle of a block']"
25,1495447459.37038,22/05/2017 18:04:19,15,1,0.405480133,120000000,"[0.47565241268574765, 1.0]","[0.39437381893869383, 0.6056261810613062]",2,WiFi,3.9465911388,6569255,8919145.54076591,4.7568776217,0.0123360157,14.9946029186,0,"['; gamma used= 0.4054801330382267', 'ALGORITHM RESET DUE TO NETWORK QUALITY DROP', 'exploring after a reset', 'prob current block:0.5', '<wifi_mac_address>']"
26,1495447474.37732,22/05/2017 18:04:34,16,1,0.396850263,120000000,"[0.4898914025778192, 1.0]","[0.3967468817363645, 0.6032531182636356]",2,Cellular,0.8451678753,8078920,8561121.1203625,4.5659312642,0.0022969246,15.0002999306,0,"['; gamma used= 0.3968502629920499', 'exploring after a reset', 'prob current block:1.0', '']"
27,1495447489.37991,22/05/2017 18:04:49,17,2,0.3889111187,120000000,"[0.4831420738613782, 1.0]","[0.39352128247706714, 0.6064787175229328]",-1,WiFi,4.0869438648,6014671,8267329.69625432,4.4092425047,0.0077912807,14.9997861385,0,"['; gamma used= 0.3889111187328203', 'current gain: 8561121.120362496, prev block gain: [8919145.540765908]', ' ----- switch back', '<wifi_mac_address>']"
28,1495447504.38749,22/05/2017 18:05:04,17,2,0.3889111187,120000000,"[0.4895344457240808, 1.0]","[0.3940318259357367, 0.6059681740642633]",-1,WiFi,0,8485280,8481859.05620652,4.5236581633,0,15.0060498714,0,"['; gamma used= 0.38157141418444396', 'no selection ----- in the middle of a block']"
29,1495447519.39354,22/05/2017 18:05:19,18,2,0.3815714142,120000000,"[0.49618060048963786, 1.0]","[0.39587609990275574, 0.6041239000972443]",0,WiFi,0,9076064,9074576.48888445,4.8397741274,0,15.0024588108,0,"['; gamma used= 0.38157141418444396', 'flipped coin but will not select greedily...', 'choosing randomly']"
30,1495447534.396,22/05/2017 18:05:34,18,2,0.3815714142,120000000,"[0.5142623343459662, 1.0]","[0.39971867216635065, 0.6002813278336494]",0,WiFi,0,8040744,8039227.76152328,4.2875881395,0,15.0028290749,0,"['; gamma used= 0.3747561767843155', 'no selection ----- in the middle of a block']"
31,1495447549.39883,22/05/2017 18:05:49,19,2,0.3747561768,120000000,"[0.5308307583936287, 1.0]","[0.40418758940243943, 0.5958124105975606]",1,Cellular,2.5282449722,6667672,8019629.94447675,4.2771359704,0.0038039684,14.9995286465,0,"['; gamma used= 0.3747561767843155', 'flipped coin and will select greedily...', 'averageBytePerNet:[8556427.708726894, 8561121.120362496], numNetworkHighestAverageByte: 1', 'choosing greedily', '']"
32,1495447564.40216,22/05/2017 18:06:04,20,2,0.3747561768,120000000,"[0.5179210272450643, 1.0]","[0.39970507185693005, 0.60029492814307]",-1,WiFi,4.2886054516,5843807,8185560.82062185,4.3656324377,0.0113010406,14.9973530769,0,"['; gamma used= 0.36840314986403866', 'current gain: 8019629.944476748, prev block gain: [9074576.48888445, 8039227.761523275]', ' ----- switch back', '<wifi_mac_address>']"
33,1495447579.41082,22/05/2017 18:06:19,20,2,0.3684031499,120000000,"[0.52436343442306, 1.0]","[0.4005364239156153, 0.5994635760843847]",-1,WiFi,0,8618496,8614989.04573615,4.5946608244,0,15.0061061382,0,"['; gamma used= 0.3624601243342974', 'no selection ----- in the middle of a block']"
34,1495447594.41692,22/05/2017 18:06:34,21,2,0.3624601243,120000000,"[0.5312303932426656, 1.0]","[0.40241203475100795, 0.5975879652489919]",1,WiFi,0,9084752,9083308.82444558,4.844431373,0,15.0023832321,0,"['; gamma used= 0.3624601243342974', 'flipped coin and will select greedily...', 'averageBytePerNet:[8511812.629998924, 8290375.532419622], numNetworkHighestAverageByte: 1', 'choosing greedily']"
35,1495447609.4193,22/05/2017 18:06:49,21,2,0.3624601243,120000000,"[0.5457766328940069, 1.0]","[0.4055106682997859, 0.594489331700214]",1,WiFi,0,8095768,8094590.76049521,4.3171150723,0,15.00218153,0,"['; gamma used= 0.3568829277518041', 'no selection ----- in the middle of a block']"
36,1495447624.42149,22/05/2017 18:07:04,22,2,0.3568829278,120000000,"[0.5590748171144493, 1.0]","[0.40905936341699, 0.59094063658301]",1,WiFi,0,9008008,9005468.58752996,4.80291658,0,15.004229784,0,"['; gamma used= 0.3568829277518041', 'flipped coin and will select greedily...', 'averageBytePerNet:[8528954.22165925, 8290375.532419622], numNetworkHighestAverageByte: 1', 'choosing greedily']"
37,1495447639.42572,22/05/2017 18:07:19,22,2,0.3568829278,120000000,"[0.5740243811080928, 1.0]","[0.41226687476891066, 0.5877331252310894]",1,WiFi,0,9067376,9065878.38682311,4.8351351396,0,15.0024778843,0,"['; gamma used= 0.35163388691695935', 'no selection ----- in the middle of a block']"
38,1495447654.42819,22/05/2017 18:07:34,23,2,0.3516338869,120000000,"[0.5894780327117128, 1.0]","[0.41627171725933965, 0.5837282827406605]",0,Cellular,0.8057415485,8106004,8565298.0573701,4.5681589639,0.002464056,15.0014016628,2896,"['; gamma used= 0.35163388691695935', 'flipped coin but will not select greedily...', 'choosing randomly', '']"
39,1495447669.43206,22/05/2017 18:07:49,24,2,0.3516338869,120000000,"[0.577115050876964, 1.0]","[0.41241002824886375, 0.5875899717511363]",-1,WiFi,4.1211266518,6076935,8378993.67868139,4.4687966286,0.0070228577,15.0000016689,11104,"['; gamma used= 0.3466806371753174', 'current gain: 8565298.057370096, prev block gain: [9005468.587529955, 9065878.38682311]', ' ----- switch back', '<wifi_mac_address>']"
40,1495447684.43908,22/05/2017 18:08:04,24,2,0.3466806372,120000000,"[0.584047047052922, 1.0]","[0.4136076657071018, 0.5863923342928982]",-1,WiFi,0,8107352,8104587.41656261,4.3224466222,0,15.0051167011,0,"['; gamma used= 0.3419951893353394', 'no selection ----- in the middle of a block']"
41,1495447699.4442,22/05/2017 18:08:19,25,2,0.3419951893,120000000,"[0.5908312326197651, 1.0]","[0.4153791389717215, 0.5846208610282784]",1,WiFi,0,8186992,8185554.33000205,4.365628976,0,15.0026345253,0,"['; gamma used= 0.3419951893353394', 'flipped coin and will select greedily...', 'averageBytePerNet:[8562732.004963871, 8382016.37406978], numNetworkHighestAverageByte: 1', 'choosing greedily']"
42,1495447714.44684,22/05/2017 18:08:34,25,2,0.3419951893,120000000,"[0.6045932476939454, 1.0]","[0.4183793332481846, 0.5816206667518153]",1,WiFi,0,6738992,6737973.93390821,3.5935860981,0,15.002266407,0,"['; gamma used= 0.33755319058958183', 'no selection ----- in the middle of a block']"
43,1495447729.4491,22/05/2017 18:08:49,26,3,0.3375531906,120000000,"[0.6161617143598558, 1.0]","[0.42133446628743065, 0.5786655337125693]",1,WiFi,0,8236224,8234632.68847805,4.3918041005,0,15.0028986931,0,"['; gamma used= 0.33755319058958183', 'flipped coin and will select greedily...', 'averageBytePerNet:[8415936.288562704, 8382016.37406978], numNetworkHighestAverageByte: 1', 'choosing greedily']"
44,1495447744.452,22/05/2017 18:09:04,26,3,0.3375531906,120000000,"[0.6304182147496914, 1.0]","[0.42444028942863427, 0.5755597105713657]",1,WiFi,0,8925472,8924096.95746763,4.7595183773,0,15.0023112297,0,"['; gamma used= 0.33333333333333337', 'no selection ----- in the middle of a block']"
45,1495447759.45431,22/05/2017 18:09:19,26,3,0.3375531906,120000000,"[0.6462410588535145, 1.0]","[0.4283703644647578, 0.5716296355352423]",1,WiFi,0,9076064,9075013.47492063,4.8400071866,0,15.0017364025,0,"['; gamma used= 0.33333333333333337', 'no selection ----- in the middle of a block']"
46,1495447774.45605,22/05/2017 18:09:34,27,2,0.3333333333,120000000,"[0.6627388101516879, 1.0]","[0.4323884208814202, 0.5676115791185797]",0,Cellular,1.9138264656,7980016,9147910.40049549,4.8788855469,0.0037362576,14.9988081455,2896,"['; gamma used= 0.33333333333333337', 'flipped coin but will not select greedily...', 'choosing randomly', '']"
47,1495447789.45859,22/05/2017 18:09:49,27,2,0.3333333333,120000000,"[0.6482436641066744, 1.0]","[0.42843381028052924, 0.5715661897194708]",0,Cellular,0,12498056,12488097.211235,6.6603185127,0,15.011961937,0,"['; gamma used= 0.32931687800417475', 'current gain: 9147910.400495488, prev block gain: [8234632.688478048, 8924096.957467625, 9075013.474920625]', 'no selection ----- in the middle of a block']"
48,1495447804.47055,22/05/2017 18:10:04,28,3,0.329316878,120000000,"[0.6289663243832184, 1.0]","[0.4236184259295627, 0.5763815740704372]",0,WiFi,1.1827273369,8367672,9084772.48083896,4.8452119898,0.0069935322,14.9987123013,0,"['; gamma used= 0.32931687800417475', 'flipped coin but will not select greedily...', 'choosing randomly', '<wifi_mac_address>']"
49,1495447819.47626,22/05/2017 18:10:19,29,2,0.329316878,120000000,"[0.6475281332770597, 1.0]","[0.42784743455232715, 0.5721525654476729]",-1,Cellular,2.3048164845,6445604,7614882.14134238,4.0612704754,0.0023994446,15.0015408993,0,"['; gamma used= 0.32548726473766765', 'current gain: 9084772.480838958, prev block gain: [9147910.400495488, 12488097.211235013]', ' ----- switch back', '']"
50,1495447834.4802,22/05/2017 18:10:34,29,2,0.3254872647,120000000,"[0.6409497165668262, 1.0]","[0.4258060128503435, 0.5741939871496564]",-1,Cellular,0,13276024,13269561.1733749,7.0770992925,0,15.0073056221,0,"['; gamma used= 0.3218297948685433', 'no selection ----- in the middle of a block']"
