Time slot,smartEXP3,greedy
90,13.7705419241,17.7388055384
91,13.975472499,18.3479972898
92,13.9071084072,18.4334412797
93,14.0503165803,18.6793412878
94,14.2507988584,18.8973479293
95,14.2832478357,18.3005133888
96,14.3835108617,18.0285287425
97,14.9750765081,17.6917771921
98,15.2040976853,17.8682220518
99,15.0681732812,17.8973254183
100,15.3703942122,18.5969612756
101,15.2996492841,18.9352489528
102,15.3447341967,19.1199939063
103,14.9460299594,19.2253699004
104,15.2808815709,18.9742077923
105,15.4524390485,17.7266931832
106,15.4153037792,16.6756428718
107,15.1157145267,16.309213937
108,14.8183802461,15.9449661897
109,14.5285488238,16.1082437777
110,14.3816807515,16.3693425036
111,14.5381322207,16.8763856817
112,14.5011310491,17.1968538845
113,14.3597792887,17.3422497449
114,13.8983874006,17.3375059612
115,13.8720476442,17.1576737829
116,13.8017373429,17.2527733578
117,14.5916063118,16.9362851149
118,15.1897760055,16.9059427787
119,15.6144244543,16.3687179458
120,15.2125547768,16.6589494942
121,15.5871376862,16.751985051
122,15.2001992547,16.700359737
123,15.0239638184,16.8992817863
124,15.0587715516,17.4647568824
125,15.0514410562,17.9790858268
126,14.8421332067,18.2692468241
127,14.2788713335,18.5723893904
128,14.5624125833,18.4049544185
129,14.3617273358,18.4209654881
130,14.1836075628,18.0320349199
131,13.2686240326,18.2112587007
132,13.1152151518,18.4862516215
133,13.0884787256,18.9917767336
134,12.8027769033,18.9930162373
135,12.9596510762,19.1513119126
136,13.6728804847,18.3606280791
137,13.4655072667,17.8406558058
138,13.2750101421,16.9741057171
139,14.254361479,16.3312590017
140,14.4685352564,16.2131319866
141,14.6714628171,16.8545635657
142,15.1548636364,17.1943931594
143,14.8055095779,17.7374272117
144,13.9084750279,18.4846273296
145,13.5101571449,18.5173858485
146,12.5852242485,18.4118681767
147,11.953163888,18.6265553992
148,11.5432915492,18.8321171112
149,10.8843658006,19.3892288785
150,10.6634392538,20.0827669453
151,11.2103603981,20.7393110719
152,11.5879482214,21.1362914636
153,11.4100064763,21.886337205
154,11.9725973039,21.6284156176
155,12.0639216073,21.3383875112
156,11.3122203056,20.982956545
157,11.6825669935,20.416881207
158,12.4007649824,19.8455984917
159,12.6969582579,19.1851048912
160,13.3425879335,18.7453440632
161,14.1071903944,18.5165712888
162,14.1859500213,18.6209887882
163,14.6178754551,18.1039010067
164,14.7186664583,18.7624604959
165,14.4222568354,18.6562856586
166,13.9463938175,19.088575754
167,13.1158739565,19.3310694296
168,12.2888408969,19.5336707304
169,12.1214745476,19.0875902863
170,11.9926418263,19.3033248288
171,12.0046031358,18.6234379001
172,12.4602072269,18.7544719161
173,12.5331103801,18.6713035832
174,11.8936988475,19.1345447858
175,11.8118697453,19.4040484541
176,12.1631388381,19.7422698202
177,12.0786366055,18.9942108497
178,12.1571861907,19.257620748
179,12.6224976538,19.3650362149
180,12.6281894343,19.4067504793
181,12.8145577467,19.4941992198
182,13.0667279525,20.0305451828
183,12.8641794823,20.5781284912
184,12.9517687056,20.1652469263
185,12.8805676099,20.1085857559
186,12.2122680794,20.8560346649
187,11.6357870575,21.3206428398
188,11.5580238461,21.3488963929
189,11.0798623476,22.5876285594
190,11.1359055197,22.6326818377
191,11.3934541035,22.2963936675
192,11.8627293075,21.6880694399
193,11.8625722144,21.4118109145
194,12.1069652509,20.4898496975
195,12.2253725864,20.484098312
196,12.0315634947,20.0886473943
197,11.6698678542,20.4056010897
198,11.7282925497,20.3871864102
199,11.87185672,20.2366789244
200,11.9819234968,20.1091587292
201,12.0518410035,20.2728843898
202,11.93487559,20.1573152053
203,11.4817337316,19.8691414337
204,11.4987256142,19.9631764364
205,11.2803193193,20.282336969
206,11.4038096904,20.3913247588
207,11.56593723,20.7352585034
208,12.0366453251,20.626632728
209,11.5658063427,20.8975532126
210,11.7587427193,21.0947667759
211,11.4421751945,21.1937018482
212,11.5980780024,20.8956530666
213,11.4939427913,21.0376182622
214,11.7508054076,20.6687408177
215,11.8950742065,20.3117256859
216,12.0530120646,20.4283859196
217,11.9603753287,20.4149219429
218,11.8148177483,21.0032910061
219,12.2598282998,21.5066648521
220,11.6955666148,22.0808865494
221,11.5681243279,21.9805134713
222,11.355137364,22.0889881537
223,10.9860771012,21.6022731206
224,10.314941311,21.2498870817
225,10.765818152,20.4296497952
226,11.0583237837,20.2291081354
227,11.1240831296,20.1655344426
228,11.010860874,20.7942016895
229,10.9820557724,20.5899253823
230,10.1310595337,20.8087921981
231,9.6571338334,20.5478066576
232,9.7248721227,20.1547894217
233,10.2842074465,19.447553412
234,10.6124053208,19.4541063491
235,11.2221883301,19.599940057
236,11.0803772238,20.4500212237
