"time slot","timestamp","date time","block index","block length","gamma","max gain","weight","probability","selection type","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","gain prev block","log"
33,1498747200.3371289,"29/06/2017 22:40:00",17,4,0.3889111187328203,41250000.0,"[0.27712351794417517, 0.284611831981851, 1.0]","[0.2369280817438189, 0.23989336485704424, 0.5231785533991369]",1,3,0,10556512,10556512.0,5.626151991930133,0,15.010631799697876,0,"[4661997.366883228, 5817578.971917947, 215363534.2466581]","[2, 2, 29]","[10942752.0, 7985504.0, 5760240.0]","['; gamma used= 0.38157141418444396', 'no selection ----- in the middle of a block']"
34,1498747215.3477607,"29/06/2017 22:40:15",17,4,0.3889111187328203,41250000.0,"[0.25965746196653067, 0.26667381565551257, 1.0]","[0.2323967259967606, 0.23523956473896274, 0.5323637092642768]",1,3,0,4739304,4739304.0,2.5261219897158615,0,15.008947372436523,0,"[4661997.366883228, 5817578.971917947, 220102838.2466581]","[2, 2, 30]","[10942752.0, 7985504.0, 5760240.0]","['; gamma used= 0.38157141418444396', 'no selection ----- in the middle of a block']"
35,1498747230.356708,"29/06/2017 22:40:30",17,4,0.3889111187328203,41250000.0,"[0.2521784363400143, 0.2589926949740451, 1.0]","[0.23039145937512434, 0.23318011265409527, 0.5364284279707804]",1,3,0,3246416,3246416.0,1.7303666697829423,0,15.00914716720581,0,"[4661997.366883228, 5817578.971917947, 223349254.2466581]","[2, 2, 31]","[10942752.0, 7985504.0, 5760240.0]","['; gamma used= 0.38157141418444396', 'no selection ----- in the middle of a block']"
36,1498747245.3658552,"29/06/2017 22:40:45",18,2,0.38157141418444396,41250000.0,"[0.24718001692108305, 0.25385921038786047, 1.0]","[0.22902870821452992, 0.2317805378102514, 0.5391907539752188]",0,1,4.967870473861694,1219248,1823444.1897408748,0.9729660914789714,0.017461538314819336,14.99286937713623,8880,"[6485441.556624102, 5817578.971917947, 223349254.2466581]","[3, 2, 31]","[7095960.0, 10556512.0, 4739304.0, 3246416.0]","['; gamma used= 0.38157141418444396', 'flipped coin but will not select greedily...', 'choosing randomly']"
37,1498747260.3761861,"29/06/2017 22:41:00",19,4,0.38157141418444396,41250000.0,"[0.25321207547207736, 0.25385921038786047, 1.0]","[0.22996968611533064, 0.23023816519304707, 0.5397921486916223]",-1,3,3.9458563327789307,1750632,2375653.5762322266,1.2671958095180733,0.015662431716918945,14.997862577438354,4376,"[6485441.556624102, 5817578.971917947, 225724907.8228903]","[3, 2, 32]","[1823444.1897408748]","['; gamma used= 0.3747561767843155', 'current gain: 1823444.1897408748, prev block gain: [7095960.0, 10556512.0, 4739304.0, 3246416.0]', ' ----- switch back']"
38,1498747275.3897111,"29/06/2017 22:41:15",19,4,0.3747561767843155,41250000.0,"[0.2514275990099172, 0.2520701733334659, 1.0]","[0.22842201095178225, 0.22869194678155008, 0.5428860422666677]",-1,3,0,1941768,1941768.0,1.0347405532986276,0,15.012598037719727,0,"[6485441.556624102, 5817578.971917947, 227666675.8228903]","[3, 2, 33]","[1823444.1897408748]","['; gamma used= 0.36840314986403866', 'no selection ----- in the middle of a block']"
39,1498747290.4023092,"29/06/2017 22:41:30",19,4,0.3747561767843155,41250000.0,"[0.24997838083826313, 0.25061725139026886, 1.0]","[0.22801630884828247, 0.2282852078238794, 0.5436984833278382]",-1,3,0,1513160,1513160.0,0.8065175236950904,0,15.009320497512817,0,"[6485441.556624102, 5817578.971917947, 229179835.8228903]","[3, 2, 34]","[1823444.1897408748]","['; gamma used= 0.36840314986403866', 'no selection ----- in the middle of a block']"
40,1498747305.4116297,"29/06/2017 22:41:45",19,4,0.3747561767843155,41250000.0,"[0.24885484321301427, 0.2494908423362971, 1.0]","[0.22770069803341764, 0.2279687904014398, 0.5443305115651426]",-1,3,0,1983760,1983760.0,1.057377658540511,0,15.008904218673706,0,"[6485441.556624102, 5817578.971917947, 231163595.8228903]","[3, 2, 35]","[1823444.1897408748]","['; gamma used= 0.36840314986403866', 'no selection ----- in the middle of a block']"
41,1498747320.420534,"29/06/2017 22:42:00",20,4,0.36840314986403866,41250000.0,"[0.2473895262053077, 0.2480217804132005, 1.0]","[0.22728765161159814, 0.22755468835555143, 0.5451576600328505]",0,3,0,2309560,2309560.0,1.2310349643676288,0,15.008899450302124,0,"[6485441.556624102, 5817578.971917947, 233473155.8228903]","[3, 2, 36]","[2375653.5762322266, 1941768.0, 1513160.0, 1983760.0]","['; gamma used= 0.36840314986403866', 'flipped coin but will not select greedily...', 'choosing randomly']"
42,1498747335.4294333,"29/06/2017 22:42:15",21,1,0.3624601243342974,41250000.0,"[0.24433874007225906, 0.24496319737621824, 1.0]","[0.2254164876381164, 0.22568380511210479, 0.5488997072497789]",2,1,4.76429557800293,1065728,1562287.1586971043,0.8338007591128493,0.020924806594848633,14.989548921585083,0,"[1562287.1586971043, 0, 0]","[1, 0, 0]","[2309560.0]","['; gamma used= 0.3624601243342974', 'ALGORITHM RESET DUE TO NETWORK QUALITY DROP', 'exploring after a reset', 'prob current block:0.3333333333333333']"
